sku,qty,est_cost,supplier,day_generated,arrival_day
TUZO 450ML ESL WHOLE MILK 90DAYS,9,330.76771807700675,BROOKSIDE DAIRY LIMITED,10,13
DAIMA 500ML WHOLE ESL POUCH,9,352.4199585430856,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
LATO 500ML ESL MILK 90DAYS,8,329.5355780219781,MUSTY DISTRIBUTION LIMITED,10,13
EXE 2KG ALL PURPOSE FLOUR,5,640.4591201186358,UNGA LTD,10,13
FRESHA MAISHA 500ML LONG LIFE MILK,7,310.54134344793835,GITHUNGURI DAIRY FARMERS,10,13
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,3,616.6681362725451,BROOKSIDE DAIRY LIMITED,10,13
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,7,968.0589189758717,BIO FOOD PRODUCTS LTD,10,13
TUSKER CAN 500ML BEER,8,1361.2651311725037,KENYA BREWERIES LTD,10,13
EMBASSY BY DUNHILL BLUE 20S,5,1840.0050615437708,NOBLE OUTLOOK LIMITED,10,13
COKE PET 500ML,5,265.9515125951963,COCA COLA BEVERAGES KENYA LTD,10,13
COKE ZERO 500ML PET,5,260.7016361886429,COCA COLA BEVERAGES KENYA LTD,10,13
COKE 330ML CAN,3,234.13143872113682,COCA COLA BEVERAGES KENYA LTD,10,13
DL 37G FILLED CHOCOLATES MINT CHOC,4,222.98034941497036,GLACIER PRODUCTS LTD 2ND,10,13
ISINYA 6S EGGS,3,300.4754411036435,ISINYA FEEDS LIMITED,10,13
KRACKLES BANG BANG CHILLI 30G,2,88.15878787878789,PROPACK KENYA LTD,10,13
HIGHLANDS 500ML MINERAL WATER,4,80.00135909959653,HIGHLANDS DRINKS LIMITED,10,13
URBAN STIX 35G BARBEQUE SNACKS,3,84.0,NORDA INDUSTRIES LTD.,10,13
KABARNET 300ML MINERAL WATER,2,30.45800103573278,KHETIA DRAPERS LTD,10,13
ISINYA 15S EGGS,2,496.3384022093899,ISINYA FEEDS LIMITED,10,13
TUZO 450ML ESL WHOLE MILK 30DAYS,6,266.3991250455706,BROOKSIDE DAIRY LIMITED,10,13
