Department,SKU_Count,Total_Value,Capital_Weight,SKU_per_Million
GLASSWARE ITEMS,187,0.0,0.0,1.626086956521739
GLOVES,37,0.0,0.0,0.3217391304347826
General Merchandise,487,0.0,0.0,4.234782608695652
HAIR ACCESSORIES,48,0.0,0.0,0.4173913043478261
HAIR PRODUCTS,235,0.0,0.0,2.0434782608695654
HAND WASH,96,0.0,0.0,0.8347826086956522
HARDWARE,66,0.0,0.0,0.5739130434782609
HEATERS,7,0.0,0.0,0.06086956521739131
HERBAL TEAS,152,0.0,0.0,1.3217391304347827
HOME APPLIANCES ELEC,11,0.0,0.0,0.09565217391304348
HOME AUDIO/THEATERS,1,0.0,0.0,0.008695652173913044
HONEY,93,0.0,0.0,0.808695652173913
HOT SAUCE,145,0.0,0.0,1.2608695652173914
HOUSEHOLD ITEMS,967,0.0,0.0,8.408695652173913
ICE CUBE/BLOCK,5,584800.0,0.002338739543439262,0.043478260869565216
ICE-CREAM,375,409250.0,0.0016366777670186697,3.2608695652173916
INCENSE STICKS,188,0.0,0.0,1.634782608695652
INDIAN FOOD/SNACKS/SWEETS,280,526633.95,0.002106121141899137,2.434782608695652
JAMS,13,0.0,0.0,0.11304347826086956
MARGARINE,33,1788148.72,0.007151186937438956,0.28695652173913044
MAYONNAISE,72,0.0,0.0,0.6260869565217391
MEDICARE,284,68040.0,0.0002721064270444723,2.4695652173913043
MEN DEO/COLOGNE,55,0.0,0.0,0.47826086956521746
MENS CREAM,7,0.0,0.0,0.06086956521739131
MENS DEO STICK,30,0.0,0.0,0.2608695652173913
MENS LOTION,19,0.0,0.0,0.16521739130434784
MENS ROLL ON,37,0.0,0.0,0.3217391304347826
MENS SHOWER GEL,65,0.0,0.0,0.5652173913043478
MEXICAN FOOD,82,2024828.0,0.008097717702228172,0.7130434782608696
MICROWAVE,7,0.0,0.0,0.06086956521739131
MILK POWDER,18,0.0,0.0,0.15652173913043477
MILK SHAKE,44,231250.0,0.000924817919665406,0.3826086956521739
MINERAL WATER,159,27016716.03,0.10804559184888919,1.382608695652174
MISC. DEPARTMENT,7,861669.0,0.0034459975438710082,0.06086956521739131
MIX SAUCE,64,0.0,0.0,0.5565217391304348
MIXER/BLENDERS/CHOPPERS/JUICE EXT.,20,0.0,0.0,0.17391304347826086
MOUTH WASH,21,0.0,0.0,0.1826086956521739
MUESLI,17,0.0,0.0,0.14782608695652175
MUESLI/GRANOLA,46,0.0,0.0,0.39999999999999997
MUKHUWAS(MOUTH FRESHNER),10,0.0,0.0,0.08695652173913043
MUSTARD,37,0.0,0.0,0.3217391304347826
NON ALC SPARKLING JUICE,11,0.0,0.0,0.09565217391304348
NOODLES,139,506077.02,0.00202390960789997,1.2086956521739132
OATS,54,0.0,0.0,0.46956521739130436
OLIVE OIL,61,0.0,0.0,0.5304347826086957
OLIVES,73,0.0,0.0,0.6347826086956522
PAPADUM,16,0.0,0.0,0.1391304347826087
PARTY ITEMS,261,0.0,0.0,2.2695652173913046
PASTA,234,291960.0,0.001167610118164376,2.034782608695652
PASTA /PIZZA SAUCE,102,0.0,0.0,0.8869565217391304
PEANUT BUTTER,53,0.0,0.0,0.4608695652173913
PENS/PENCIL/MARKERS,1,0.0,0.0,0.008695652173913044
PENS/PENCILS/MARKERS,194,27157.0,0.0001086066172728797,1.6869565217391305
PET ASSESORIES,139,0.0,0.0,1.2086956521739132
PET BIRD FOOD/PARROT,3,0.0,0.0,0.026086956521739132
PET CAT FOOD,299,1583442.0,0.006332521238273859,2.6
PET DOG FOOD,323,0.0,0.0,2.808695652173913
PET FISH FOOD,5,0.0,0.0,0.043478260869565216
PETROLIUM JELLY,28,0.0,0.0,0.24347826086956523
PICKLES,52,0.0,0.0,0.45217391304347826
PLANT BASED,48,0.0,0.0,0.4173913043478261
PLASTIC WARE,169,0.0,0.0,1.4695652173913043
PLASTIC/REFUSE BAGS,29,0.0,0.0,0.25217391304347825
POLISHES,18,0.0,0.0,0.15652173913043477
PREMIX FOODS,1,0.0,0.0,0.008695652173913044
PUDDINGS,43,0.0,0.0,0.3739130434782609
READY TO DRINK,217,2490554.04,0.00996025516145761,1.8869565217391304
READY TO EAT FOOD,11,0.0,0.0,0.09565217391304348
READY TO EAT NUTS,152,946357.0,0.003784682862706139,1.3217391304347827
RICE,138,3624004.0,0.014493162551952907,1.2
RICE CAKES,12,0.0,0.0,0.10434782608695653
RICE COOKERS,2,0.0,0.0,0.017391304347826087
ROLLING PAPERS/SHISHA &ASST,9,0.0,0.0,0.07826086956521738
SAFARICOM/AIRTEL/TELCOM TOP UP,10,0.0,0.0,0.08695652173913043
SALAD DRESSING,37,0.0,0.0,0.3217391304347826
SALT,117,376976.0,0.0015076071787406965,1.017391304347826
SANITARY TOWELS,100,285060.0,0.001140015551047873,0.8695652173913043
SCOORING PAD,117,0.0,0.0,1.017391304347826
