sku,qty,est_cost,supplier,day_generated
BROADWAY 400G WHITE SLICED BREAD,65,3380.0,BROADWAYS BAKERY LTD,7
AJAB 2KG MAIZE MEAL FLOUR,63,7825.175020016013,GRAIN INDUSTRIES LIMITED,7
AMAIZE 2KG PREMIUM MAIZE FLOUR,63,9231.365091610414,CAPWELL INDUSTRIES LTD,7
PEMBE 2KG HOMEBAKING,62,7570.228914057295,PEMBE FLOUR MILLS,7
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,59,1208.920954907162,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
RINSUN 5LT SUNFLOWER OIL,54,68686.49432703004,KAPA OIL REFINERIES LTD,7
SUPA LOAF WHITE BREAD 600G,50,4000.0,MINI BAKERIES NBI  LTD,7
MUMIAS 2KG SUGAR,49,12574.912967098406,Unknown,7
BROADWAY 400G NATURAL BROWN BREAD,48,2496.0929332042597,BROADWAYS BAKERY LTD,7
NATURES 400G GOLD  BROWN,46,2392.0891472868216,DPL FESTIVE  LIMITED,7
SUPA 600G WHITE BUTTER TOAST,45,3600.0,MINI BAKERIES NBI  LTD,7
BUTTERFLY 1KG SOOJI (SEMOLINA),40,6646.25141562854,SPICE WORLD LTD,7
BIO 1L BARISTA FRESH MILK,40,5727.5,BIO FOOD PRODUCTS LTD,7
HOSTESS 2KG FLOUR,40,4847.9663959531545,UNGA LTD,7
KINGSMIL 400G KUBWA WAO WHITE BREAD,40,2080.0,KENAFRIC BAKERY LTD,7
MUMIAS 1KG SUGAR,39,5050.80423363387,Unknown,7
SOKO 1KG MAIZE MEAL FLOUR,38,2409.247522847523,CAPWELL INDUSTRIES LTD,7
RINA 5LT VEGETABLE OIL,38,37007.05605536332,KAPA OIL REFINERIES LTD,7
RINSUN 3LT SUNFLOWER OIL,37,32379.208721986673,KAPA OIL REFINERIES LTD,7
RINSUN 2LT SUNFLOWER OIL,37,22425.798230088498,KAPA OIL REFINERIES LTD,7
EXE 2KG CHAPATI FLOUR,37,5011.179661016949,UNGA LTD,7
KINGSMIL 200G SLICED WHITE BREAD,36,1008.0820980615734,KENAFRIC BAKERY LTD,7
TUZO 250ML UHT WHOLE MILK,35,1120.0,BROOKSIDE DAIRY LIMITED,7
BROADWAYS 600G WHITE BREAD,35,2772.1602034329308,BROADWAYS BAKERY LTD,7
EXE 2KG SELF RAISING,35,4901.835497835497,UNGA LTD,7
GOLD CROWN 500ML LACTOSE FREE MILK TFA,35,1553.9948960991617,NEW KENYA COOP CREAMERIES  LTD,7
EXE 1KG ALL PURPOSE,34,2328.698199875854,UNGA LTD,7
FRESHA 2LT WHOLE MILK,33,5544.0,GITHUNGURI DAIRY FARMERS,7
SUPA 800G SWICH WHITE BREAD,33,3432.0,MINI BAKERIES NBI  LTD,7
BROOKSIDE 250ML UHT LOW FAT MILK,33,1108.8,BROOKSIDE DAIRY LIMITED,7
BIO 1L FRESH SKIMMED MILK,32,3939.442904290429,BIO FOOD PRODUCTS LTD,7
DAIMA 200ML MILK FINO BORA,32,639.4362853039731,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
FESTIVE 350G SLICED SUB ROLLS 4S,31,3472.0,DPL FESTIVE  LIMITED,7
KINGSMIL 400G KUBWA WAO BROWN BREAD,31,1612.0,KENAFRIC BAKERY LTD,7
NATURES 600G BROWN BREAD,30,2400.0,DPL FESTIVE  LIMITED,7
SUPA 400G BARREL WHITE BREAD,29,1508.0361089494168,MINI BAKERIES NBI  LTD,7
BROADWAY 800G WHITE SANDWICH SLICED BREAD,29,3016.035913312694,BROADWAYS BAKERY LTD,7
FESTIVE 350G LONG SLICED ROLLS 4S,28,2240.0,DPL FESTIVE  LIMITED,7
DAIMA 500ML UHT PLAIN FINO 180DAYS,28,1170.918124207858,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
AJAB 1KG HOME BAKING FLOUR,28,3393.5764771672084,GRAIN INDUSTRIES LIMITED,7
BROOKSIDE 3L FARM FRESH MILK,27,1198.7960627050675,BROOKSIDE DAIRY LIMITED,7
RINSUN 1LT SUNFLOWER OIL,26,24036.78739067651,KAPA OIL REFINERIES LTD,7
SOKO 2KG HOMEBAKING FLOUR,26,3127.7441894892677,CAPWELL INDUSTRIES LTD,7
TUZO 200ML UHT WHOLE MILK,25,1109.996354356544,BROOKSIDE DAIRY LIMITED,7
SUPA 800G WHITE BUTTER TOAST,24,1920.0,MINI BAKERIES NBI  LTD,7
AMAIZE 2KG SIFTED MAIZE FLOUR,24,2908.779837571893,CAPWELL INDUSTRIES LTD,7
KINGSMIL 200G SLICED BROWN BREAD,24,1920.0,KENAFRIC BAKERY LTD,7
BROADWAY 200G WHITE KADOGO  BREAD,24,1920.0,BROADWAYS BAKERY LTD,7
NUTRAMEAL 5KG SUGAR,23,4528.351443679274,KAMILI PACKERS SUGAR ONLY,7
FAMILA 1KG PURE WIMBI FLOUR,22,2666.381517774235,UNGA LTD,7
EXE 1KG SELF RAISING,22,2666.381517774235,UNGA LTD,7
FRESH FRI 250ML COOKING OIL,21,19414.328277084875,PWANI OIL PRODUCTS LTD.,7
EXE 2KG MANDAZI FLOUR,21,2545.182357875406,UNGA LTD,7
TUZO 1L UHT WHOLE MILK,20,887.9970834852352,BROOKSIDE DAIRY LIMITED,7
