sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
COKE PET 500ML,9,478.71272267135333,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE ZERO 330ML CAN,8,618.0605233693531,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE ZERO 500ML PET,7,364.9822906641001,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 1LTR SPARKLING WATER,9,684.2334568554793,AQUAMIST LIMITED,2,2,5
AQUAMIST 20LT MINERAL WATER,7,2953.843439911797,AQUAMIST LIMITED,2,2,5
KABARNET 300ML MINERAL WATER,4,60.91600207146556,KHETIA DRAPERS LTD,2,2,5
FESTIVE 400G MILKY WHITE SLICED,29,1508.006718017027,DPL FESTIVE  LIMITED,2,3,6
BIO 2L WHOLE FRESH MILK,28,7131.526052819415,BIO FOOD PRODUCTS LTD,2,3,6
FESTIVE 800G WHITE MILKY BREAD,26,2704.0,DPL FESTIVE  LIMITED,2,3,6
FRESHA 500ML WHOLE MILK POUCH,26,1181.944844984399,GITHUNGURI DAIRY FARMERS,2,3,6
FESTIVE 600G FAMILY WHITE BREAD,24,1920.0141035058434,DPL FESTIVE  LIMITED,2,3,6
NATURES 400G GOLD WHITE,24,1248.006730701816,DPL FESTIVE  LIMITED,2,3,6
SOKO 2KG MAIZE MEAL,22,2572.182834886632,CAPWELL INDUSTRIES LTD,2,3,6
DAIMA 500ML WHOLE ESL POUCH,21,822.3132366005331,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
AJAB 2KG HOME BAKING FLOUR,15,1916.1424161350074,GRAIN INDUSTRIES LIMITED,2,3,6
DAIMA 500ML FINO MAZIWA BORA,17,648.1324456902594,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
NATURES 600G WHITE BREAD,16,1280.0126652873978,DPL FESTIVE  LIMITED,2,3,6
DAIMA 450ML ESL MAZIWA BORA,17,608.6221331997998,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
EXE 2KG ALL PURPOSE FLOUR,13,1665.193712308453,UNGA LTD,2,3,6
FRESHA MAISHA 250ML LONG LIFE MILK,11,264.0040362343768,GITHUNGURI DAIRY FARMERS,2,3,6
FRESHA MAISHA 500ML LONG LIFE MILK,11,487.9935397039031,GITHUNGURI DAIRY FARMERS,2,3,6
BIO 1L FRESH WHOLE MILK,10,1367.0559449471136,BIO FOOD PRODUCTS LTD,2,3,6
WHITE CAP 500ML LAGER CANS,24,4384.9957313623045,KENYA BREWERIES LTD,2,3,6
QUENCHER 300ML DRINKING WATER,22,339.2873891297099,EXCEL CHEMICALS LTD,2,3,6
AQUAMIST 300ML MINERAL WATER,22,539.8970889770262,AQUAMIST LIMITED,2,3,6
QUENCHER 500ML DRINKING WATER,17,359.70112079701124,EXCEL CHEMICALS LTD,2,3,6
QUENCHER 1LT DRINKING WATER,17,655.2964980544748,EXCEL CHEMICALS LTD,2,3,6
KERINGET 500ML MINERAL WATER,17,763.5841377415516,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE PET 350ML,17,661.0180273365349,COCA COLA BEVERAGES KENYA LTD,2,3,6
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,12,1659.5295753872088,BIO FOOD PRODUCTS LTD,2,3,6
AQUAMIST 500ML MINERAL WATER,15,592.166631689402,AQUAMIST LIMITED,2,3,6
DUNHILL 20S SWITCH,11,4136.0,NOBLE OUTLOOK LIMITED,2,3,6
TUSKER CAN 500ML BEER,12,2041.8976967587555,KENYA BREWERIES LTD,2,3,6
EMBASSY BY DUNHILL BLUE 20S,12,4416.012147705051,NOBLE OUTLOOK LIMITED,2,3,6
KERINGET 18.9LT MINERAL WATER REFIL,10,4789.09086485829,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE PET 500ML,10,531.9030251903926,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE ZERO 330ML CAN,11,849.8332196328605,COCA COLA BEVERAGES KENYA LTD,2,3,6
COKE ZERO 500ML PET,7,364.9822906641001,COCA COLA BEVERAGES KENYA LTD,2,3,6
AQUAMIST 1LTR SPARKLING WATER,10,760.259396506088,AQUAMIST LIMITED,2,3,6
SCHWEPPES TONIC WATER 500ML PET,7,424.95602358887953,COCA COLA BEVERAGES KENYA LTD,2,3,6
AQUAMIST 20LT MINERAL WATER,8,3375.8210741849107,AQUAMIST LIMITED,2,3,6
COKE 330ML CAN,7,546.3066903493193,COCA COLA BEVERAGES KENYA LTD,2,3,6
DL 37G FILLED CHOCOLATES MINT CHOC,6,334.4705241224556,GLACIER PRODUCTS LTD 2ND,2,3,6
TUSKER 500ML LAGER BEER,5,836.0000000000001,KENYA BREWERIES LTD,2,3,6
COCA COLA 300ML,5,160.0,COCA COLA BEVERAGES KENYA LTD,2,3,6
COCA COLA 300ML EMPTY BOTTLE,5,60.0,COCA COLA BEVERAGES KENYA LTD,2,3,6
ISINYA 6S EGGS,6,600.950882207287,ISINYA FEEDS LIMITED,2,3,6
BIO 150ML VANILLA YOGHURT,6,558.0761085126287,BIO FOOD PRODUCTS LTD,2,3,6
KRACKLES POTATO CRISP BBQ30G,5,218.28560371517028,PROPACK KENYA LTD,2,3,6
KABARNET 300ML MINERAL WATER,5,76.14500258933195,KHETIA DRAPERS LTD,2,3,6
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,17,695.2920647726618,BROOKSIDE DAIRY LIMITED,2,4,7
DAIMA 450ML ESL MAZIWA BORA,10,358.013019529294,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,4,7
JOGOO 2KG MAIZE MEAL,7,812.0364769187199,UNGA LTD,2,4,7
PEMBE 2KG MAIZE MEAL,5,588.019719151479,PEMBE FLOUR MILLS,2,4,7
AQUAMIST 500ML MINERAL WATER,16,631.6444071353621,AQUAMIST LIMITED,2,4,7
COKE PET 500ML,11,585.0933277094318,COCA COLA BEVERAGES KENYA LTD,2,4,7
COKE ZERO 330ML CAN,12,927.0907850540295,COCA COLA BEVERAGES KENYA LTD,2,4,7
COKE ZERO 500ML PET,7,364.9822906641001,COCA COLA BEVERAGES KENYA LTD,2,4,7
AQUAMIST 1LTR SPARKLING WATER,12,912.3112758073057,AQUAMIST LIMITED,2,4,7
SCHWEPPES TONIC WATER 500ML PET,8,485.6640269587195,COCA COLA BEVERAGES KENYA LTD,2,4,7
AQUAMIST 20LT MINERAL WATER,9,3797.7987084580245,AQUAMIST LIMITED,2,4,7
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,2,4,7
DL 37G FILLED CHOCOLATES MINT CHOC,7,390.21561147619815,GLACIER PRODUCTS LTD 2ND,2,4,7
MAYERS 1L SPARKLING WATER PLASTIC,5,384.93379549393416,MALACHITE LIMITED,2,4,7
TUSKER 500ML LAGER BEER,6,1003.2,KENYA BREWERIES LTD,2,4,7
COCA COLA 300ML,6,192.0,COCA COLA BEVERAGES KENYA LTD,2,4,7
COCA COLA 300ML EMPTY BOTTLE,6,72.0,COCA COLA BEVERAGES KENYA LTD,2,4,7
AQUAMIST 500ML SPARKLING WATER,6,330.7065282042436,AQUAMIST LIMITED,2,4,7
ISINYA 6S EGGS,7,701.1093625751682,ISINYA FEEDS LIMITED,2,4,7
BIO 150ML VANILLA YOGHURT,6,558.0761085126287,BIO FOOD PRODUCTS LTD,2,4,7
SCHWEPPES SODA WATER 500ML PET,5,302.68167428772426,COCA COLA BEVERAGES KENYA LTD,2,4,7
KRACKLES BANG BANG CHILLI 30G,5,220.39696969696973,PROPACK KENYA LTD,2,4,7
GUINNESS 500ML CAN,5,914.7652332393145,KENYA BREWERIES LTD,2,4,7
KRACKLES POTATO CRISP BBQ30G,6,261.94272445820434,PROPACK KENYA LTD,2,4,7
NESTLE 41.5G KITKAT 4 FINGER MILK,5,668.3043184885291,GLACIER PRODUCTS LTD 2ND,2,4,7
HIGHLANDS 500ML MINERAL WATER,5,100.00169887449566,HIGHLANDS DRINKS LIMITED,2,4,7
KABARNET 300ML MINERAL WATER,6,91.37400310719835,KHETIA DRAPERS LTD,2,4,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,19,777.0911312165043,BROOKSIDE DAIRY LIMITED,2,5,8
JOGOO 2KG MAIZE MEAL,8,928.0416879071086,UNGA LTD,2,5,8
ILARA  POUCH FRESH MILK 1LTR,6,561.8020377484551,BROOKSIDE DAIRY LIMITED,2,5,8
PEMBE 2KG MAIZE MEAL,6,705.6236629817748,PEMBE FLOUR MILLS,2,5,8
NATURES 800G WHITE BREAD,4,416.00651289009505,DPL FESTIVE  LIMITED,2,5,8
BROOKSIDE 1L LACTOSE FREE UHT MILK,4,557.5011283127789,BROOKSIDE DAIRY LIMITED,2,5,8
FESTIVE 300G 6S DELUXE ROLLS,3,288.0,DPL FESTIVE  LIMITED,2,5,8
SCHWEPPES TONIC WATER 500ML PET,10,607.0800336983993,COCA COLA BEVERAGES KENYA LTD,2,5,8
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,2,5,8
DL 37G FILLED CHOCOLATES MINT CHOC,7,390.21561147619815,GLACIER PRODUCTS LTD 2ND,2,5,8
MAYERS 1L SPARKLING WATER PLASTIC,5,384.93379549393416,MALACHITE LIMITED,2,5,8
TUSKER 500ML LAGER BEER,8,1337.6000000000001,KENYA BREWERIES LTD,2,5,8
COCA COLA 300ML,7,224.0,COCA COLA BEVERAGES KENYA LTD,2,5,8
COCA COLA 300ML EMPTY BOTTLE,7,84.0,COCA COLA BEVERAGES KENYA LTD,2,5,8
AQUAMIST 500ML SPARKLING WATER,8,440.9420376056582,AQUAMIST LIMITED,2,5,8
ISINYA 6S EGGS,8,801.2678429430493,ISINYA FEEDS LIMITED,2,5,8
BIO 150ML VANILLA YOGHURT,6,558.0761085126287,BIO FOOD PRODUCTS LTD,2,5,8
SCHWEPPES SODA WATER 500ML PET,5,302.68167428772426,COCA COLA BEVERAGES KENYA LTD,2,5,8
KRACKLES BANG BANG CHILLI 30G,6,264.47636363636366,PROPACK KENYA LTD,2,5,8
GUINNESS 500ML CAN,6,1097.7182798871772,KENYA BREWERIES LTD,2,5,8
KRACKLES POTATO CRISP BBQ30G,7,305.5998452012384,PROPACK KENYA LTD,2,5,8
NESTLE 41.5G KITKAT 4 FINGER MILK,6,801.9651821862349,GLACIER PRODUCTS LTD 2ND,2,5,8
BALOZI 500ML CAN,5,822.1446793061718,KENYA BREWERIES LTD,2,5,8
