sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,26,3595.647413338952,BIO FOOD PRODUCTS LTD,2,2,5
KERINGET 18.9LT MINERAL WATER REFIL,14,6704.727210801606,COCA COLA BEVERAGES KENYA LTD,2,2,5
TUSKER CAN 500ML BEER,16,2722.5302623450075,KENYA BREWERIES LTD,2,2,5
AQUAMIST 500ML MINERAL WATER,16,631.6444071353621,AQUAMIST LIMITED,2,2,5
COKE PET 500ML,11,585.0933277094318,COCA COLA BEVERAGES KENYA LTD,2,2,5
COKE ZERO 330ML CAN,12,927.0907850540295,COCA COLA BEVERAGES KENYA LTD,2,2,5
AQUAMIST 20LT MINERAL WATER,9,3797.7987084580245,AQUAMIST LIMITED,2,2,5
TUSKER 500ML LAGER BEER,9,1504.8000000000002,KENYA BREWERIES LTD,2,2,5
AQUAMIST 1LTR SPARKLING WATER,12,912.3112758073057,AQUAMIST LIMITED,2,2,5
AQUAMIST 500ML SPARKLING WATER,8,440.9420376056582,AQUAMIST LIMITED,2,2,5
COCA COLA 300ML EMPTY BOTTLE,7,84.0,COCA COLA BEVERAGES KENYA LTD,2,2,5
BIO 150ML VANILLA YOGHURT,10,930.1268475210477,BIO FOOD PRODUCTS LTD,2,2,5
FESTIVE 400G MILKY WHITE SLICED,48,2496.0111194764586,DPL FESTIVE  LIMITED,2,3,6
BIO 2L WHOLE FRESH MILK,47,11970.775874375446,BIO FOOD PRODUCTS LTD,2,3,6
FRESHA 500ML WHOLE MILK POUCH,45,2045.673770165306,GITHUNGURI DAIRY FARMERS,2,3,6
FESTIVE 800G WHITE MILKY BREAD,42,4368.0,DPL FESTIVE  LIMITED,2,3,6
FESTIVE 600G FAMILY WHITE BREAD,43,3440.0252687813027,DPL FESTIVE  LIMITED,2,3,6
NATURES 400G GOLD WHITE,41,2132.011498282269,DPL FESTIVE  LIMITED,2,3,6
DAIMA 500ML FINO MAZIWA BORA,31,1181.8885774351788,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
NATURES 600G WHITE BREAD,32,2560.0253305747956,DPL FESTIVE  LIMITED,2,3,6
DAIMA 500ML WHOLE ESL POUCH,32,1253.0487414865265,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
SOKO 2KG MAIZE MEAL,23,2689.100236472388,CAPWELL INDUSTRIES LTD,2,3,6
FRESHA MAISHA 250ML LONG LIFE MILK,25,600.0091732599473,GITHUNGURI DAIRY FARMERS,2,3,6
DAIMA 450ML ESL MAZIWA BORA,28,1002.4364546820232,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,3,6
