sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,22,1330.9894602363463,BROOKSIDE DAIRY LIMITED,2,5
DAIMA 500ML WHOLE ESL POUCH,24,939.7865561148949,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
AJAB 2KG HOME BAKING FLOUR,20,2554.8565548466763,GRAIN INDUSTRIES LIMITED,2,5
DAIMA 500ML FINO MAZIWA BORA,21,800.6341976173792,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
LATO 500ML ESL MILK 90DAYS,24,988.6067340659342,MUSTY DISTRIBUTION LIMITED,2,5
NATURES 600G WHITE BREAD,21,1680.0166231897097,DPL FESTIVE  LIMITED,2,5
BROOKSIDE 250ML UHT WHOLE MILK,22,739.2084802929556,BROOKSIDE DAIRY LIMITED,2,5
DAIMA 450ML ESL MAZIWA BORA,21,751.8273410115174,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,2,5
EXE 2KG ALL PURPOSE FLOUR,19,2433.744656450816,UNGA LTD,2,5
FRESHA MAISHA 250ML LONG LIFE MILK,16,384.00587088636627,GITHUNGURI DAIRY FARMERS,2,5
FRESHA MAISHA 500ML LONG LIFE MILK,18,798.5348831518414,GITHUNGURI DAIRY FARMERS,2,5
BIO 1L FRESH WHOLE MILK,18,2460.7007009048048,BIO FOOD PRODUCTS LTD,2,5
JOGOO 2KG MAIZE MEAL,12,1392.0625318606628,UNGA LTD,2,5
LATO 500ML FINO UHT MILK 180DAYS,20,803.4136253041363,MUSTY DISTRIBUTION LIMITED,2,5
ILARA  POUCH FRESH MILK 1LTR,13,1217.237748454986,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 2LTR FRESH MILK STANDARD BOTTLE,9,1850.0044088176353,BROOKSIDE DAIRY LIMITED,2,5
PEMBE 2KG MAIZE MEAL,10,1176.039438302958,PEMBE FLOUR MILLS,2,5
BROOKSIDE 1LTR FRESH MILK STANDARD,7,727.9114524508698,BROOKSIDE DAIRY LIMITED,2,5
WHITE CAP 500ML LAGER CANS,35,6394.785441570027,KENYA BREWERIES LTD,2,5
QUENCHER 300ML DRINKING WATER,34,524.3532377459153,EXCEL CHEMICALS LTD,2,5
AQUAMIST 300ML MINERAL WATER,25,613.5194192920752,AQUAMIST LIMITED,2,5
QUENCHER 500ML DRINKING WATER,23,486.6544575488976,EXCEL CHEMICALS LTD,2,5
QUENCHER 1LT DRINKING WATER,23,886.5776150148777,EXCEL CHEMICALS LTD,2,5
KERINGET 500ML MINERAL WATER,19,853.4175657111458,COCA COLA BEVERAGES KENYA LTD,2,5
COKE PET 350ML,22,855.4350942002218,COCA COLA BEVERAGES KENYA LTD,2,5
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,17,2351.0002317985454,BIO FOOD PRODUCTS LTD,2,5
AQUAMIST 500ML MINERAL WATER,16,631.6444071353621,AQUAMIST LIMITED,2,5
DUNHILL 20S SWITCH,19,7144.0,NOBLE OUTLOOK LIMITED,2,5
TUSKER CAN 500ML BEER,20,3403.1628279312595,KENYA BREWERIES LTD,2,5
EMBASSY BY DUNHILL BLUE 20S,17,6256.017209248821,NOBLE OUTLOOK LIMITED,2,5
KERINGET 18.9LT MINERAL WATER REFIL,17,8141.454470259093,COCA COLA BEVERAGES KENYA LTD,2,5
COKE PET 500ML,17,904.2351428236674,COCA COLA BEVERAGES KENYA LTD,2,5
COKE ZERO 330ML CAN,13,1004.3483504751987,COCA COLA BEVERAGES KENYA LTD,2,5
COKE ZERO 500ML PET,15,782.1049085659288,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 1LTR SPARKLING WATER,14,1064.3631551085232,AQUAMIST LIMITED,2,5
SCHWEPPES TONIC WATER 500ML PET,15,910.620050547599,COCA COLA BEVERAGES KENYA LTD,2,5
BROOKSIDE 500ML NATURAL LALA BOTTLE,11,792.023521550284,BROOKSIDE DAIRY LIMITED,2,5
COKE 330ML CAN,11,858.4819419775017,COCA COLA BEVERAGES KENYA LTD,2,5
DL 37G FILLED CHOCOLATES MINT CHOC,12,668.9410482449111,GLACIER PRODUCTS LTD 2ND,2,5
MAYERS 1L SPARKLING WATER PLASTIC,10,769.8675909878683,MALACHITE LIMITED,2,5
TUSKER 500ML LAGER BEER,10,1672.0000000000002,KENYA BREWERIES LTD,2,5
COCA COLA 300ML,12,384.0,COCA COLA BEVERAGES KENYA LTD,2,5
COCA COLA 300ML EMPTY BOTTLE,10,120.0,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 500ML SPARKLING WATER,15,826.7663205106091,AQUAMIST LIMITED,2,5
WHITE CAP 500ML LAGER BEER,10,1912.0000000000002,KENYA BREWERIES LTD,2,5
ISINYA 6S EGGS,11,1101.743284046693,ISINYA FEEDS LIMITED,2,5
BIO 150ML VANILLA YOGHURT,9,837.114162768943,BIO FOOD PRODUCTS LTD,2,5
SPRITE PET 350ML,9,350.1385309898243,COCA COLA BEVERAGES KENYA LTD,2,5
SCHWEPPES SODA WATER 500ML PET,8,484.29067886035887,COCA COLA BEVERAGES KENYA LTD,2,5
GUINNESS 500ML CAN,9,1646.577419830766,KENYA BREWERIES LTD,2,5
KRACKLES POTATO CRISP BBQ30G,10,436.57120743034056,PROPACK KENYA LTD,2,5
NESTLE 41.5G KITKAT 4 FINGER MILK,9,1202.9477732793523,GLACIER PRODUCTS LTD 2ND,2,5
HIGHLANDS 500ML MINERAL WATER,9,180.0030579740922,HIGHLANDS DRINKS LIMITED,2,5
TUSKER LITE 500ML CAN,10,2068.5705008077543,KENYA BREWERIES LTD,2,5
KRACKLES CHEESE & ONION 30G,7,310.29015307288097,PROPACK KENYA LTD,2,5
TUZO 450ML ESL WHOLE MILK 30DAYS,22,976.7967918337588,BROOKSIDE DAIRY LIMITED,2,5
KRACKLES PERFECTLY SALTED 30G,11,363.496115942029,PROPACK KENYA LTD,2,5
GOLD 500ML CROWN TFA 20,20,5887.619274241523,NEW KENYA COOP CREAMERIES  LTD,2,5
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,23,736.0177875983981,Unknown,2,5
TWIX TWIN BAR 50G,12,1651.9340006903694,RADBONE CLARK LIMITED MARS,2,5
KRACKLES TANGY TOMATO 30G,11,952.1194439328103,PROPACK KENYA LTD,2,5
KARA 65ML COCONUT  MILK CREAM,11,639.2109659455987,PORTCROSS LTD  PC.,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),431,18856.92031933871,BROOKSIDE DAIRY LIMITED,3,6
ILARA FRESH MILK 500ML SATCHET,113,5082.502795756323,BROOKSIDE DAIRY LIMITED,3,6
TUZO 500ML FRESH MILK (POUCH),73,3445.60377834568,BROOKSIDE DAIRY LIMITED,3,6
