sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
SUPA LOAF WHITE BREAD 600G,96,7680.0,MINI BAKERIES NBI  LTD,2,1,4
SUPA 600G WHITE BUTTER TOAST,96,7680.0,MINI BAKERIES NBI  LTD,2,1,4
NATURES 400G GOLD  BROWN,91,4732.176356589147,DPL FESTIVE  LIMITED,2,1,4
BROADWAYS 600G WHITE BREAD,89,7049.207374443738,BROADWAYS BAKERY LTD,2,1,4
KINGSMIL 400G KUBWA WAO WHITE BREAD,87,4524.0,KENAFRIC BAKERY LTD,2,1,4
KINGSMIL 200G SLICED WHITE BREAD,84,2352.1915621436715,KENAFRIC BAKERY LTD,2,1,4
BIO 1L FRESH SKIMMED MILK,84,10341.037623762377,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 250ML UHT LOW FAT MILK,74,2486.4,BROOKSIDE DAIRY LIMITED,2,1,4
FRESHA 2LT WHOLE MILK,71,11928.0,GITHUNGURI DAIRY FARMERS,2,1,4
FESTIVE 350G SLICED SUB ROLLS 4S,72,8064.0,DPL FESTIVE  LIMITED,2,1,4
TUZO 450ML ESL WHOLE MILK 90DAYS,75,2756.3976506417225,BROOKSIDE DAIRY LIMITED,2,1,4
FESTIVE 350G LONG SLICED ROLLS 4S,69,5520.0,DPL FESTIVE  LIMITED,2,1,4
HOSTESS 2KG FLOUR,45,5453.962195447299,UNGA LTD,2,1,4
BROADWAY 800G WHITE SANDWICH SLICED BREAD,63,6552.078018575852,BROADWAYS BAKERY LTD,2,1,4
BROOKSIDE 3L FARM FRESH MILK,59,2619.591396281444,BROOKSIDE DAIRY LIMITED,2,1,4
SUPA 400G BARREL WHITE BREAD,62,3224.0771984435805,MINI BAKERIES NBI  LTD,2,1,4
SUPA 800G SWICH WHITE BREAD,65,6760.0,MINI BAKERIES NBI  LTD,2,1,4
EXE 2KG CHAPATI FLOUR,50,6771.86440677966,UNGA LTD,2,1,4
TUZO 1L UHT WHOLE MILK,59,2619.591396281444,BROOKSIDE DAIRY LIMITED,2,1,4
NATURES 600G BROWN BREAD,61,4880.0,DPL FESTIVE  LIMITED,2,1,4
KINGSMIL 400G KUBWA WAO BROWN BREAD,59,3068.0,KENAFRIC BAKERY LTD,2,1,4
SOKO 1KG MAIZE MEAL FLOUR,54,3423.667532467533,CAPWELL INDUSTRIES LTD,2,1,4
BIO 1L BARISTA FRESH MILK,57,8161.6875,BIO FOOD PRODUCTS LTD,2,1,4
BROADWAYS 600G BROWN BREAD,47,3760.0,BROADWAYS BAKERY LTD,2,1,4
BROADWAY 200G WHITE KADOGO  BREAD,50,4000.0,BROADWAYS BAKERY LTD,2,1,4
EXE 2KG SELF RAISING,35,4901.835497835497,UNGA LTD,2,1,4
SUPA 800G WHITE BUTTER TOAST,45,3600.0,MINI BAKERIES NBI  LTD,2,1,4
EXE 1KG SELF RAISING,27,3272.3773172683796,UNGA LTD,2,1,4
KINGSMIL 200G SLICED BROWN BREAD,35,2800.0,KENAFRIC BAKERY LTD,2,1,4
BROADWAY 800G BROWN SANDWICH SLICED BREAD,32,2560.0,BROADWAYS BAKERY LTD,2,1,4
FAMILA 1KG PURE WIMBI FLOUR,21,2545.182357875406,UNGA LTD,2,1,4
SUPA 600G BARREL WHITE BREAD,28,2240.0,MINI BAKERIES NBI  LTD,2,1,4
