sku,qty,est_cost,supplier,day_generated,arrival_day
BROOKSIDE 500ML DAIRY BEST (POUCH),21,918.7826605710277,BROOKSIDE DAIRY LIMITED,1,4
ILARA FRESH MILK 500ML SATCHET,4,179.91160338960435,BROOKSIDE DAIRY LIMITED,1,4
BROOKSIDE 500ML DAIRY BEST (POUCH),21,918.7826605710277,BROOKSIDE DAIRY LIMITED,2,5
ILARA FRESH MILK 500ML SATCHET,5,224.88950423700544,BROOKSIDE DAIRY LIMITED,2,5
BROOKSIDE 500ML DAIRY BEST (POUCH),22,962.5342158363147,BROOKSIDE DAIRY LIMITED,3,6
ILARA FRESH MILK 500ML SATCHET,5,224.88950423700544,BROOKSIDE DAIRY LIMITED,3,6
