sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
EMBASSY BY DUNHILL BLUE 20S,16,5888.016196940067,NOBLE OUTLOOK LIMITED,2,1,4
TUSKER 500ML LAGER BEER,21,3511.2000000000003,KENYA BREWERIES LTD,2,1,4
TUSKER CAN 500ML BEER,23,3913.6372521209482,KENYA BREWERIES LTD,2,1,4
COKE ZERO 330ML CAN,22,1699.666439265721,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 20LT MINERAL WATER,21,8861.53031973539,AQUAMIST LIMITED,2,1,4
WHITE CAP 500ML LAGER BEER,19,3632.8,KENYA BREWERIES LTD,2,1,4
AQUAMIST 500ML MINERAL WATER,19,750.0777334732426,AQUAMIST LIMITED,2,1,4
COKE 330ML CAN,17,1326.7448194197752,COCA COLA BEVERAGES KENYA LTD,2,1,4
SCHWEPPES SODA WATER 500ML PET,16,968.5813577207177,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML SPARKLING WATER,17,937.0018299120236,AQUAMIST LIMITED,2,1,4
DASANI 500ML MINERAL WATER,15,403.059708981435,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 150ML VANILLA YOGHURT,16,1488.2029560336764,BIO FOOD PRODUCTS LTD,2,1,4
SPRITE 330ML CAN REGULAR,16,1235.5689124044677,COCA COLA BEVERAGES KENYA LTD,2,1,4
BROOKSIDE 500ML NATURAL LALA BOTTLE,16,1152.0342131640496,BROOKSIDE DAIRY LIMITED,2,1,4
PICK N PEEL 250ML MANGO,10,566.1014521049422,KEVIAN KENYA LTD,2,1,4
COCA COLA 300ML,15,480.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COCA COLA 300ML EMPTY BOTTLE,13,156.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML APPLE,10,569.3278008298755,KEVIAN KENYA LTD,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL EMPTY BOTTLE,13,10391.195111326235,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LTR SPARKLING WATER,14,1064.3631551085232,AQUAMIST LIMITED,2,1,4
SPRITE PET 500ML,13,687.3682671216184,COCA COLA BEVERAGES KENYA LTD,2,1,4
ILARA 500ML MAZIWA LALA,13,936.0,BROOKSIDE DAIRY LIMITED,2,1,4
PICK N PEEL 250ML TROPICAL MIX,9,509.76382978723404,KEVIAN KENYA LTD,2,1,4
KERINGET 1LT SPARKLING MINERAL WATER,12,1011.1334508283401,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE PET 350ML,11,427.9470934320075,COCA COLA BEVERAGES KENYA LTD,2,1,4
TUSKER LITE 500ML CAN,12,2482.2846009693053,KENYA BREWERIES LTD,2,1,4
BALOZI 500ML CAN,11,1808.7182944735782,KENYA BREWERIES LTD,2,1,4
FANTA ORANGE PET 350ML,10,389.46302233902765,COCA COLA BEVERAGES KENYA LTD,2,1,4
ISINYA 6S EGGS,11,1101.743284046693,ISINYA FEEDS LIMITED,2,1,4
GUINNESS 500ML CAN,10,1829.530466478629,KENYA BREWERIES LTD,2,1,4
PICK N PEEL 250ML ORANGE JUICE,8,605.7582284851536,KEVIAN KENYA LTD,2,1,4
VELVEX 100S WHITE SERVIETTES,11,1022.5194873136281,CHANDARIA INDUSTRIES  LTD,2,1,4
COKE ZERO SUGAR 300ML,10,320.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML EMPTY BOTTLE,9,108.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
ISINYA 30S EGGS,10,4330.263858093126,ISINYA FEEDS LIMITED,2,1,4
SCHWEPPES TONIC WATER 500ML PET,9,546.3720303285594,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE 1.25L PET,9,920.2569095066972,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE PET 2LTS,9,1185.2642069956878,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 1LT MINERAL WATER,9,625.441095890411,COCA COLA BEVERAGES KENYA LTD,2,1,4
PREDATOR 400ML ENERGY DRINK PET,9,453.3514076655053,COCA COLA BEVERAGES KENYA LTD,2,1,4
PILSNER 500ML LAGER BEER,9,1504.8000000000002,KENYA BREWERIES LTD,2,1,4
BIO 150ML NATURAL YOGHURT,9,830.8028571428572,BIO FOOD PRODUCTS LTD,2,1,4
DASANI 1L MINERAL WATER,8,369.5748585795098,COCA COLA BEVERAGES KENYA LTD,2,1,4
BALOZI 500ML BEER,8,1330.1884931506847,KENYA BREWERIES LTD,2,1,4
FANTA ORANGE PET 500ML,8,422.7978329056174,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 20LT MINERAL WATER EMPTY BOTTLE,7,5348.280699562774,AQUAMIST LIMITED,2,1,4
PICK N PEEL 250ML PINEAPPLE JUICE,7,395.40596282006317,KEVIAN KENYA LTD,2,1,4
BIO 150ML STRAWBERRY YOGHURT,9,851.1955852454255,BIO FOOD PRODUCTS LTD,2,1,4
FANTA BLACKCURRANT PET 500ML,6,317.63214878777814,COCA COLA BEVERAGES KENYA LTD,2,1,4
DUNHILL 20S DOUBLE CAP,6,2256.0,NOBLE OUTLOOK LIMITED,2,1,4
AQUAMIST 1LT MINERAL WATER,7,428.4971006253553,AQUAMIST LIMITED,2,1,4
VELVEX SNOW WHITE 10 PACK,7,2560.4669683257916,CHANDARIA INDUSTRIES  LTD,2,1,4
ISINYA 15S EGGS,8,1985.3536088375597,ISINYA FEEDS LIMITED,2,1,4
BROOKSIDE 500ML SWEET LALA BOTTLE,7,532.0019656019656,BROOKSIDE DAIRY LIMITED,2,1,4
LEADAV YELLOW YOLK EGGS 30PACK TRAY,6,2342.5035040431267,LEADAV POULTRY FARM LTD,2,1,4
BIO 200ML GREEK STYLE YOGHURT VANILLA,6,826.8111111111111,BIO FOOD PRODUCTS LTD,2,1,4
ILARA 500ML TNC PLAIN CUP,6,563.7666206896553,BROOKSIDE DAIRY LIMITED,2,1,4
AQUAMIST 1.5LT MINERAL WATER,5,369.0090634441088,AQUAMIST LIMITED,2,1,4
BROOKSIDE 1L NATURAL LALA BOTTLE,6,792.005057955743,BROOKSIDE DAIRY LIMITED,2,1,4
AQUAMIST 5LT MINERAL WATER,5,856.1073544789123,AQUAMIST LIMITED,2,1,4
SOFTLEAF 10S VIRGIN TOILET PAPER,4,1381.959103335156,KAPA OIL REFINERIES LTD,2,1,4
FANTA BLACK CURRANT 350ML PET,5,194.34249751573373,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 150ML MANGO YOGHURT,5,473.50957854406136,BIO FOOD PRODUCTS LTD,2,1,4
BIO 150ML BERRY COCKTAIL YOGHURT,6,535.1723289777095,BIO FOOD PRODUCTS LTD,2,1,4
OXYRICH 1L SPRING WATER,4,149.170819883796,AQUAMIST LIMITED,2,1,4
BROOKSIDE 500G SALTED BUTTER,5,3004.56735340729,BROOKSIDE DAIRY LIMITED,2,1,4
FANTA ORANGE PET 2LTS,4,491.1442685243826,COCA COLA BEVERAGES KENYA LTD,2,1,4
LEADAV YELLOW YOLK EGGS 6PACK,4,1316.578748451956,LEADAV POULTRY FARM LTD,2,1,4
ROTHMANS SWITCH BLUE 20S,6,1752.0038049940545,NOBLE OUTLOOK LIMITED,2,1,4
COKE ZERO 2L PET,4,529.8530831099196,COCA COLA BEVERAGES KENYA LTD,2,1,4
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,4,297.19788531923547,BROOKSIDE DAIRY LIMITED,2,1,4
STONEY ZERO 500ML  PET,4,212.76121007615703,COCA COLA BEVERAGES KENYA LTD,2,1,4
BROOKSIDE 250ML STRAWBERRY,4,219.5255756067206,BROOKSIDE DAIRY LIMITED,2,1,4
BIO 90ML VANILLA,4,252.8,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 250G NATURAL PROBIOTIC YOGHURT,4,297.2722566122679,BROOKSIDE DAIRY LIMITED,2,1,4
SUNRICE 5KG RICE BASMATI,4,4419.634207525656,KRISH COMMODITIES LTD,2,1,4
FC 500G (14D) FRESH CLASSIC PORK SAUSAGE,4,1177.5238548483046,FARMERS CHOICE LTD,2,1,4
FC 200G (30D) FRESH SANDWICH HAM,4,939.6583333333334,FARMERS CHOICE LTD,2,1,4
FC 100G (30D) COLLAR BACON,4,573.9864163004395,FARMERS CHOICE LTD,2,1,4
BIO 90ML NATURAL Y0GHURT,3,189.60000000000002,BIO FOOD PRODUCTS LTD,2,1,4
NEPTUNE 10S BLENDED TOILET PAPER,3,883.136170212766,KAPA OIL REFINERIES LTD,2,1,4
FANTA BLACKCURRANT PET 2LTS,3,366.76880796976985,COCA COLA BEVERAGES KENYA LTD,2,1,4
BIO 500ML COOKING CREAM LONG LIFE,3,846.4775583482945,BIO FOOD PRODUCTS LTD,2,1,4
QUENCHER 10LT MINERAL WATER PET,3,717.6,EXCEL CHEMICALS LTD,2,1,4
FESTIVE 400G POUNDCAKE SLICED VANILLA,2,281.6,DPL FESTIVE  LIMITED,2,1,4
FANTA PASSION PET 2LTS,2,244.3512442007592,COCA COLA BEVERAGES KENYA LTD,2,1,4
FESTIVE 400G MILKY WHITE SLICED,67,3484.01552093589,DPL FESTIVE  LIMITED,2,2,5
