sku,qty,est_cost,supplier,day_generated,arrival_day
LATO 500ML ESL MILK 90DAYS,7,288.34363076923086,MUSTY DISTRIBUTION LIMITED,6,9
NATURES 600G WHITE BREAD,7,560.0055410632365,DPL FESTIVE  LIMITED,6,9
BROOKSIDE 250ML UHT WHOLE MILK,7,235.20269827503134,BROOKSIDE DAIRY LIMITED,6,9
DAIMA 450ML ESL MAZIWA BORA,8,286.4104156234352,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,6,9
FRESHA MAISHA 250ML LONG LIFE MILK,4,96.00146772159157,GITHUNGURI DAIRY FARMERS,6,9
LATO 500ML FINO UHT MILK 180DAYS,4,160.68272506082727,MUSTY DISTRIBUTION LIMITED,6,9
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,7,968.0589189758717,BIO FOOD PRODUCTS LTD,6,9
TUSKER CAN 500ML BEER,5,850.7907069828149,KENYA BREWERIES LTD,6,9
AQUAMIST 1LTR SPARKLING WATER,4,304.1037586024352,AQUAMIST LIMITED,6,9
TUZO 450ML ESL WHOLE MILK 30DAYS,6,266.3991250455706,BROOKSIDE DAIRY LIMITED,6,9
GOLD 500ML CROWN TFA 20,6,1766.2857822724568,NEW KENYA COOP CREAMERIES  LTD,6,9
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,4,128.00309349537358,Unknown,6,9
FESTIVE 600G FAMILY WHITE BREAD,11,880.0064641068449,DPL FESTIVE  LIMITED,7,10
DAIMA 500ML WHOLE ESL POUCH,7,274.10441220017765,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
DAIMA 500ML FINO MAZIWA BORA,6,228.75262789067978,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7,10
LATO 500ML ESL MILK 90DAYS,8,329.5355780219781,MUSTY DISTRIBUTION LIMITED,7,10
NATURES 600G WHITE BREAD,8,640.0063326436989,DPL FESTIVE  LIMITED,7,10
