sku,qty,est_cost,supplier,day_generated,arrival_day
OREO 55.2G ORIGINAL COOKIES,10,549.7122353785433,HASBAH KENYA LTD CADBURY,10,13
MENENGAI CREAM 800G SOAP,5,655.4596774193549,MENENGAI O REFINERIES LTD,10,13
OREO 31.3G ENROBED,8,409.56275976724856,HASBAH KENYA LTD CADBURY,10,13
GREEN FARM 30S Y/YORK EGGS,6,2688.583005280845,GREEN FARM POULTRY,10,13
FESTIVE TORTILLA WRAP 8 INCH,4,878.2875502008033,DPL FESTIVE  LIMITED,10,13
OREO 26.25G ORIGINAL,5,177.1034482758621,HASBAH KENYA LTD CADBURY,10,13
JIAN 30 PACK YELLOW YOLK EGGS,6,2358.5973961562304,JIAN CEREALS DEPOT,10,13
ZESTA 100G BI-CARBONATE OF SODA,4,70.40207927225472,TRUFOODS LIMITED T F,10,13
DAIMA 200ML WHOLE MILK FINO TETRA 180DAYS,6,122.94111405835547,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,10,13
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,30,960.0232012153018,Unknown,10,13
KARA 65ML COCONUT  MILK CREAM,15,871.6513171985437,PORTCROSS LTD  PC.,10,13
MACCOFFEE 1.6G CLASSIC,14,90.36251313301113,CHANDARIA INDUSTRIES LTD MACCOFFEE,10,13
YOU C-1000 500ML ORANGE WATER,10,1822.1368392809231,PORTCROSS LTD  PC.,10,13
HEINEKEN 0.0% 330ML BEER,7,1318.2277073170733,KENYA WINE AGENCIES KWAL,10,13
BROOKSIDE 250G PROBIOTIC FRUIT CUP YOGHURT VANILLA,7,520.0962993086621,BROOKSIDE DAIRY LIMITED,10,13
MCVITIES 200G DARK CHOCO DIGESTIVE,9,1669.338495904691,WORLD BRANDS K LTD,10,13
RED BULL 250ML SUGAR FREE CAN,7,904.6374230222643,HASBAH KENYA LTD,10,13
SWAMINARAYAN 500G FARAYALI  ATTA,3,456.61903179190745,RAJ KAMAL ENTERPRISE LIMITED,10,13
PICK N PEEL 250ML RED GRAPE,3,169.46514439220954,KEVIAN KENYA LTD,10,13
NESCAFE GOLD 18G CAPPUCCINO WHITE CHOCOLATE STICK,3,400.98259109311743,NESTLE KENYA LTD,10,13
TUSKER 330ML BEER (CANS),3,548.8591399435886,KENYA BREWERIES LTD,10,13
KRACKLES CURLS 15G SWEET KETCHUP,3,84.0,PROPACK KENYA LTD,10,13
PENTONIC BLUE  DISPENSER,3,48.96829451540195,WORLD BRANDS K LTD,10,13
NESCAFE GOLD 18G CAPPUCCINO HAZELNUT STICK,2,14.621068209336741,NESTLE KENYA LTD,10,13
SANTA MARIA 700G SPAGHETTI,2,265.41818181818184,DEBENHAM AND FEAR LTD,10,13
MENTOS 14G PURE FRESH FMINT,3,64.07502930832356,WORLD BRANDS K LTD,10,13
VELVEX 100S FOLDED SERVIETTES,1,92.95631702851165,CHANDARIA INDUSTRIES  LTD,10,13
