sku,qty,est_cost,supplier,day_generated,arrival_day
COKE PET 350ML,17,661.0180273365349,COCA COLA BEVERAGES KENYA LTD,2,5
BIO 200ML GREEK STYLE NATURE PLAIN YOGHURT,14,1936.1178379517435,BIO FOOD PRODUCTS LTD,2,5
AQUAMIST 500ML MINERAL WATER,14,552.6888562434419,AQUAMIST LIMITED,2,5
DUNHILL 20S SWITCH,12,4512.0,NOBLE OUTLOOK LIMITED,2,5
TUSKER CAN 500ML BEER,15,2552.3721209484447,KENYA BREWERIES LTD,2,5
EMBASSY BY DUNHILL BLUE 20S,12,4416.012147705051,NOBLE OUTLOOK LIMITED,2,5
KERINGET 18.9LT MINERAL WATER REFIL,12,5746.909037829948,COCA COLA BEVERAGES KENYA LTD,2,5
COKE PET 500ML,10,531.9030251903926,COCA COLA BEVERAGES KENYA LTD,2,5
COKE ZERO 330ML CAN,10,772.5756542116914,COCA COLA BEVERAGES KENYA LTD,2,5
COKE ZERO 500ML PET,10,521.4032723772858,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 1LTR SPARKLING WATER,10,760.259396506088,AQUAMIST LIMITED,2,5
SCHWEPPES TONIC WATER 500ML PET,11,667.7880370682393,COCA COLA BEVERAGES KENYA LTD,2,5
AQUAMIST 20LT MINERAL WATER,8,3375.8210741849107,AQUAMIST LIMITED,2,5
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,2,5
DL 37G FILLED CHOCOLATES MINT CHOC,9,501.7057861836833,GLACIER PRODUCTS LTD 2ND,2,5
AQUAMIST 500ML SPARKLING WATER,7,385.8242829049509,AQUAMIST LIMITED,2,5
BIO 150ML VANILLA YOGHURT,6,558.0761085126287,BIO FOOD PRODUCTS LTD,2,5
SPRITE PET 350ML,6,233.4256873265495,COCA COLA BEVERAGES KENYA LTD,2,5
KRACKLES BANG BANG CHILLI 30G,6,264.47636363636366,PROPACK KENYA LTD,2,5
KRACKLES PERFECTLY SALTED 30G,10,330.45101449275364,PROPACK KENYA LTD,2,5
FESTIVE 400G MILKY WHITE SLICED,32,1664.0074129843056,DPL FESTIVE  LIMITED,3,6
BIO 2L WHOLE FRESH MILK,30,7640.920770877945,BIO FOOD PRODUCTS LTD,3,6
FESTIVE 800G WHITE MILKY BREAD,27,2808.0,DPL FESTIVE  LIMITED,3,6
FRESHA 500ML WHOLE MILK POUCH,24,1091.02601075483,GITHUNGURI DAIRY FARMERS,3,6
