Department,SKU_Count,Avg_Price,Avg_Daily_Sales,Total_Value,Capital_Weight,SKU_per_Million
AIR FRESHNERS,158,0.0,0.08093354430379747,0.0,0.0,1.3750822120315076
AIR/DEEP FRYERS,7,0.0,0.015714285714285715,0.0,0.0,0.060921363824180716
ALL CLEANERS,186,0.0,0.09330645161290323,0.0,0.0,1.6187676673282305
ANTISEPTIC,30,0.0,0.10583333333333332,0.0,0.0,0.26109155924648875
BABY COSMETICS,140,0.0,0.06941071428571428,0.0,0.0,1.2184272764836144
BABY FOODS,67,0.0,0.1087313432835821,0.0,0.0,0.5831044823171583
BABY ITEMS,41,0.0,0.02103658536585366,0.0,0.0,0.35682513097020135
BABY MILK,25,0.0,0.044500000000000005,0.0,0.0,0.21757629937207398
BAGS,27,5.555919751256899,4.529259259259259,2744039.0,0.010973995413884285,0.23498240332183992
BAKE WARE FOODS,155,0.4603005102185384,0.17169354838709677,110506.0,0.0004419369904023583,1.3489730561068587
BAKE WARE ITEMS,59,0.0,0.03851694915254237,0.0,0.0,0.5134800665180946
BAKERY FOODPLUS,111,8.251569316036864,1.447509009009009,2647214.78,0.010586774770798335,0.9660387692120086
BAR SOAP,40,11.70269405840278,1.16625,1320634.98,0.005281500085798768,0.3481220789953184
BATH SOAP,314,0.0,0.18277070063694267,0.0,0.0,2.7327583201132493
BATTERIES,58,0.0,0.22262931034482758,0.0,0.0,0.5047770145432117
BEANS & LENTILS,95,0.0,0.3309736842105263,0.0,0.0,0.8267899376138812
BEDDINGS,6,0.0,0.02,0.0,0.0,0.052218311849297754
BEER,86,35.65612365962022,1.8746802325581395,15344367.61,0.06136538867745486,0.7484624698399345
BEVERAGES,70,1.5131218208466244,0.28364285714285714,175507.0,0.0007018898102776925,0.6092136382418072
BISCUITS,654,0.8620806485392508,0.25368119266055045,1047630.0,0.004189695122936515,5.691795991573455
BLEACHES,85,0.0,0.19017647058823528,0.0,0.0,0.7397594178650516
BOOKS,25,0.0,0.09949999999999999,0.0,0.0,0.21757629937207398
BREAD,139,20.158461096225682,2.233075539568345,12805985.0,0.051213856894989813,1.2097242245087314
BREAKFAST CEREALS,184,0.0,0.16095108695652174,0.0,0.0,1.6013615633784646
BRUSHES & BROOMS,113,0.0,0.10595132743362833,0.0,0.0,0.9834448731617744
BUTTER,84,13.974145111032772,0.3374702380952381,2654604.0,0.010616325832715526,0.7310563658901686
CAKES,128,3.1796875,0.49798828125,627484.0,0.002509441935149525,1.113990652785019
CANDLES,138,0.0,0.06324275362318842,0.0,0.0,1.2010211725338484
CANNED DRINKS,78,2.5908727319192435,0.367724358974359,608285.1,0.0024326614518722744,0.6788380540408708
CANNED FOOD,149,5.187694915220611,0.241996644295302,1498446.0,0.005992604161950049,1.296754744257561
CANNED FRUITS,15,0.0,0.19116666666666668,0.0,0.0,0.13054577962324437
CANNED MEAT,78,0.0,0.13576923076923078,0.0,0.0,0.6788380540408708
CANNED MILK,13,0.0,0.2676923076923077,0.0,0.0,0.11313967567347848
CANNED SODA,42,9.210382340088703,1.2232738095238094,1933033.98,0.007730613898491416,0.3655281829450843
CAR ACCESSORIES,102,0.0,0.06681372549019608,0.0,0.0,0.887711301438062
CARDS,31,0.0,0.02056451612903226,0.0,0.0,0.26979461122137177
CEREAL BARS,76,0.0,0.11973684210526316,0.0,0.0,0.661431950091105
CH. DRIED FRUIT/NUTS & SEEDS,40,0.0,0.06214000000000001,0.0,0.0,0.3481220789953184
CH. SPICES/OTHER ITEMS,64,0.0,0.0184703125,0.0,0.0,0.5569953263925095
