day,revenue,lost_revenue,units_sold,stockouts
1,18579.465081779566,382.8261085712615,174,1
2,16708.339758755144,752.2691498725084,168,2
3,17233.25675891744,1384.8567088679958,143,11
4,23015.203416471242,0.0,217,0
5,25245.72022708177,0.0,258,0
6,16275.127601369344,0.0,163,0
7,17103.489582716964,0.0,185,0
8,19213.654003762258,0.0,197,0
9,20439.04058572983,0.0,196,0
10,18814.859083217165,0.0,185,0
11,24771.993089917098,0.0,240,0
12,26978.54862541472,0.0,280,0
13,13970.049067298967,0.0,160,0
14,18127.5574871635,0.0,200,0
15,18011.845399551647,0.0,158,0
16,18266.306176192218,0.0,183,0
17,21005.078871513055,0.0,181,0
18,21818.6956598091,0.0,198,0
19,25568.274210339878,0.0,217,0
20,17541.68223643643,0.0,155,0
21,17419.615309114837,0.0,200,0
22,18035.452917326926,0.0,184,0
23,17718.74706405668,0.0,180,0
24,22126.90410597079,0.0,202,0
25,24404.962449723105,0.0,235,0
26,27486.131182646117,0.0,224,0
27,13044.767319663442,0.0,124,0
28,15803.222059873928,0.0,133,0
29,19413.700373712683,0.0,205,0
30,20909.781181877595,0.0,198,0
