day,revenue,lost_revenue,units_sold,stockouts
1,179578.31152008852,5529.765580153057,1286,2
2,167584.10343370677,15227.945019570032,1114,8
3,170242.2195395813,27583.89533818353,1136,30
4,245406.82292054594,0.0,2026,0
5,268313.39703557285,111.55312357698352,1991,1
6,151682.21017989152,0.0,1144,0
7,181014.17986060397,0.0,1345,0
8,183020.65061028727,0.0,1510,0
9,189071.10158585376,0.0,1557,0
10,199873.3770432141,0.0,1620,0
11,223589.13234126806,0.0,1698,0
12,244222.02616170273,0.0,1998,0
13,145217.5034073288,0.0,1144,0
14,170868.82254360212,0.0,1294,0
15,184604.90417755084,0.0,1439,0
16,187090.04279229356,0.0,1521,0
17,216287.09471729884,0.0,1562,0
18,233972.62914791814,0.0,1800,0
19,246312.92157768615,0.0,1851,0
20,146597.92165003935,0.0,1167,0
21,179946.0992437273,0.0,1478,0
22,175900.82373108773,0.0,1386,0
23,190457.33600292716,0.0,1383,0
24,185969.45974356387,0.0,1404,0
25,228620.46364245375,0.0,1639,0
26,240467.5319715524,0.0,1835,0
27,147765.63408947212,0.0,1088,0
28,157488.6046420537,0.0,1223,0
29,180080.1502490578,0.0,1438,0
30,184898.05723519824,0.0,1321,0
