day,revenue,lost_revenue,units_sold,stockouts
1,2388511.6611834522,140249.0361368132,16354,42
2,1944393.4531937384,609080.5291299066,12796,122
3,1735562.3514390339,990915.5439749811,10420,228
4,3138623.998012073,139.32581540918198,22880,1
5,3456977.7789760083,158.24215145081388,24112,1
6,1965060.3304561158,0.0,13922,0
7,2333984.402498243,0.0,16949,0
8,2461942.203859839,0.0,17563,0
9,2720237.6622408745,0.0,19227,0
10,2740577.8566315225,0.0,19239,0
11,3119955.5167536503,69.03035060177918,22304,1
12,3566861.567598421,0.0,25469,0
13,2118597.341600722,0.0,15028,0
14,2449371.366449878,0.0,17263,0
15,2405716.3092175378,0.0,17224,0
16,2715136.3532363498,0.0,18980,0
17,2815331.902348769,0.0,20348,0
18,3310929.5480439547,0.0,25064,0
19,3503441.490985155,0.0,25084,0
20,2115536.643544547,499.0232504791219,16076,1
21,2353816.3669881597,0.0,16036,0
22,2483684.6011555726,0.0,17897,0
23,2538108.622730857,0.0,17963,0
24,2787707.94902267,0.0,19508,0
25,3132841.6101045622,0.0,22312,0
26,3512628.337409745,0.0,22457,0
27,2153842.1950100167,0.0,15564,0
28,2345588.2521096077,0.0,16344,0
29,2380653.9865298765,0.0,17061,0
30,2684379.7578466674,0.0,18400,0
