day,revenue,lost_revenue,units_sold,stockouts
1,176976.90766953304,5529.765580153057,1278,2
2,167497.63980410225,8332.709650697048,1125,7
3,168543.33140752616,27067.929334610344,1128,31
4,239271.6142145156,0.0,1915,0
5,249330.36571833934,145.56221378590772,1873,2
6,144355.87924859836,441.4214169381107,1115,1
7,175715.83026675784,0.0,1411,0
8,162500.5033466425,0.0,1316,0
9,200466.05884639538,0.0,1584,0
10,199198.66384688838,0.0,1498,0
11,215649.22564977984,0.0,1710,0
12,253224.29011164262,0.0,2004,0
13,148698.30761503067,0.0,1070,0
14,158967.80130606785,0.0,1267,0
15,185867.3006087833,0.0,1544,0
16,188537.3788646388,0.0,1535,0
17,205058.93989867618,0.0,1635,0
18,225275.13114144403,0.0,1716,0
19,252462.47576659173,0.0,1980,0
20,143917.08431934062,0.0,1131,0
21,171207.15624109618,0.0,1378,0
22,177255.27952466893,0.0,1284,0
23,193108.11042750455,0.0,1465,0
24,198842.01091274785,0.0,1474,0
25,230391.12484308184,0.0,1758,0
26,255443.74069988352,0.0,1998,0
27,150366.1399905975,0.0,1204,0
28,165600.23256159687,0.0,1294,0
29,175933.0012470891,0.0,1520,0
30,187832.00198989615,0.0,1534,0
