day,revenue,lost_revenue,units_sold,stockouts
1,2253494.949290823,134918.84383153432,16115,39
2,1976529.0627185595,632068.3608157393,14229,101
3,1536771.8686824832,1129682.598210033,9656,211
4,2963014.021746145,206.14208826695372,21967,1
5,3274638.732640121,562.551764703922,24644,5
6,2025313.9399621678,0.0,15351,0
7,2240620.1804368217,0.0,16319,0
8,2506111.8217539825,0.0,18498,0
9,2503390.631408467,0.0,18405,0
10,2757013.8337695333,0.0,20129,0
11,2903078.8672197317,0.0,20968,0
12,3160744.6422425406,0.0,25219,0
13,1949729.7660486165,55.099242424242426,14811,1
14,2256466.6438081795,0.0,16280,0
15,2379738.503211603,0.0,17181,0
16,2605176.2963623335,0.0,19544,0
17,2678473.6741427407,0.0,20175,0
18,3000677.1568157882,0.0,22411,0
19,3146949.989585955,0.0,23857,0
20,1941297.861713585,0.0,14801,0
21,2386983.5836542286,0.0,18190,0
22,2444853.3853593124,0.0,18447,0
23,2429474.7558520217,0.0,18216,0
24,2583971.516895646,0.0,19529,0
25,3113597.6302019367,0.0,24263,0
26,3222596.6635607174,0.0,25056,0
27,2021744.865722002,0.0,15410,0
28,2304018.5668135104,0.0,16282,0
29,2364961.832029641,0.0,17990,0
30,2678262.097401775,0.0,20410,0
