day,revenue,lost_revenue,units_sold,stockouts
1,21854060.290009722,491658.10229366296,154265,1
2,22360285.37536246,1033022.3863123487,151253,21
3,22060340.568008307,3822387.983425262,146064,160
4,27518983.39439664,619.8564102564102,204926,1
5,30147196.314070713,999.6676847892486,232713,1
6,17820031.195807893,0.0,128416,0
7,20513916.71345765,0.0,153261,0
8,22032643.85147937,0.0,157697,0
9,23737355.453260556,0.0,179732,0
10,24432100.916185696,0.0,193691,0
11,28025787.264487933,0.0,206584,0
12,30198892.70631289,0.0,217945,0
13,19360826.667605635,0.0,139188,0
14,20451781.043516994,0.0,149235,0
15,20344614.43603454,0.0,153095,0
16,24670155.020913407,0.0,186421,0
17,26522830.110311825,0.0,193313,0
18,29000385.04851506,0.0,226654,0
19,29174269.42134393,0.0,232107,0
20,18669021.411040712,0.0,143567,0
21,20900598.071574096,0.0,148598,0
22,22216653.800085522,0.0,156262,0
23,23419785.115542445,0.0,166310,0
24,24891020.062736977,0.0,180088,0
25,28012488.52003029,0.0,198272,0
26,30767282.816528138,0.0,226278,0
27,17771831.2826112,0.0,131272,0
28,22477064.457323253,0.0,162788,0
29,20619798.375544153,0.0,145782,0
30,24841160.220059376,0.0,184503,0
