day,revenue,lost_revenue,units_sold,stockouts
1,4433.315204873335,0.0,50,0
2,5349.549560138579,502.5159032102565,50,2
3,4093.9986298837375,1357.78743746993,36,5
4,5688.1456701659645,0.0,61,0
5,6295.028735145672,0.0,59,0
6,3006.175206154224,0.0,38,0
7,3395.771862426293,0.0,34,0
8,3845.9248186455807,0.0,50,0
9,4541.940315060857,0.0,57,0
10,4858.151441737639,0.0,52,0
11,4746.544294594486,0.0,51,0
12,6765.280040485786,0.0,82,0
13,3009.99543186431,0.0,40,0
14,3967.5321085225864,0.0,46,0
15,4494.869330042028,0.0,44,0
16,4355.609770074312,0.0,46,0
17,4060.1560261531836,0.0,53,0
18,5377.35679051596,0.0,64,0
19,7730.0316397659235,0.0,81,0
20,3213.9287064099885,0.0,34,0
21,4185.1792958461765,0.0,46,0
22,5239.862817586118,0.0,60,0
23,3564.5833381632046,0.0,47,0
24,6081.850263763901,0.0,72,0
25,5073.342437593211,0.0,56,0
26,6667.522472408593,0.0,72,0
27,3174.3122590439925,0.0,36,0
28,3708.1392034827704,0.0,42,0
29,4606.018820612126,0.0,60,0
30,4024.520901073067,0.0,39,0
