day,revenue,lost_revenue,units_sold,stockouts
1,17533912.26357105,491658.10229366296,126735,1
2,17445333.845862433,674775.220846704,118295,16
3,15850843.48358542,2685750.300483823,112223,93
4,23687557.975887842,0.0,177842,0
5,25311765.491131112,0.0,185663,0
6,15274322.97903429,10149.461044926702,123582,2
7,16114785.032036422,0.0,122582,0
8,16919216.859159775,0.0,133713,0
9,18381005.82154751,6862.478691019787,152247,1
10,18289419.21330526,0.0,147767,0
11,22418332.333091255,0.0,179725,0
12,23247119.306020733,0.0,188700,0
13,14747861.86246842,0.0,112115,0
14,15504810.401051912,0.0,113747,0
15,17924205.23937596,0.0,138872,0
16,18630496.213429518,0.0,143857,0
17,19531518.966224715,0.0,149006,0
18,21495114.412392057,0.0,161892,0
19,23765958.804180063,0.0,189874,0
20,14461029.216961235,0.0,106677,0
21,16749512.477589723,0.0,129593,0
22,17935547.265117306,0.0,140362,0
23,18184096.735654574,0.0,136205,0
24,21042022.69328727,0.0,167225,0
25,20907044.049241155,0.0,167290,0
26,22685695.816794492,0.0,182255,0
27,14143470.30286867,0.0,115592,0
28,16770218.693391835,0.0,137735,0
29,18471907.392869577,0.0,141644,0
30,18700593.364183825,0.0,146322,0
