day,revenue,lost_revenue,units_sold,stockouts
1,16201.684315877317,382.8261085712615,155,1
2,15539.446792139717,2026.57529497481,148,2
3,14724.280691158152,2339.9120990987076,136,7
4,19502.54765880046,0.0,198,0
5,19466.314099485993,0.0,217,0
6,13072.271620546777,0.0,145,0
7,13999.195914293454,0.0,136,0
8,17516.308363472028,0.0,175,0
9,18367.23925293547,0.0,189,0
10,19576.010097987662,0.0,200,0
11,23543.880267239798,0.0,219,0
12,24753.043945159436,0.0,237,0
13,13926.860600179572,0.0,142,0
14,13639.627487047825,0.0,145,0
15,17070.013547490656,0.0,180,0
16,17850.600883081213,0.0,177,0
17,19130.81469763683,0.0,199,0
18,24492.63488477318,0.0,197,0
19,22347.47895878632,0.0,233,0
20,13992.289785176785,0.0,127,0
21,16045.026146547945,0.0,186,0
22,15990.304374592928,0.0,158,0
23,21297.95396930144,0.0,193,0
24,20599.613506892856,0.0,209,0
25,21637.138853352153,0.0,227,0
26,22243.17001420546,0.0,217,0
27,12210.239362890636,0.0,129,0
28,14509.406938001423,0.0,158,0
29,14918.221194763091,0.0,152,0
30,15975.630256393111,0.0,175,0
